cms_certification_number,association_date,owners,pcts,combo_key
,1989-01-01,"WEETER, JERRY",50%,"WEETER, JERRY||50%"
,1989-07-11,"DESCENDANTS S CORP FBO ASHLEY MARIA DIMAS | DESCENDANTS S CORP TRUST FBO SASHA EVA DIMAS | DESCENDANTS S CORP TRUST FBO SEAN WILLIAM DIMAS | DOROTHY VANGEL QSS TRUST | JAFARI, KIANOOSH | JAFARI, ROBERT | JAFARI, SOUSSAN | VANGEL, DOROTHY | VANGEL, NICHOLAS",7% | 7% | 7% | 8% | 13% | 25% | 13% | 10% | 10%,"DESCENDANTS S CORP FBO ASHLEY MARIA DIMAS | DESCENDANTS S CORP TRUST FBO SASHA EVA DIMAS | DESCENDANTS S CORP TRUST FBO SEAN WILLIAM DIMAS | DOROTHY VANGEL QSS TRUST | JAFARI, KIANOOSH | JAFARI, ROBERT | JAFARI, SOUSSAN | VANGEL, DOROTHY | VANGEL, NICHOLAS||7% | 7% | 7% | 8% | 13% | 25% | 13% | 10% | 10%"
,1989-10-05,VOLUNTEERS OF AMERICA NATIONAL SERVICES,100%,VOLUNTEERS OF AMERICA NATIONAL SERVICES||100%
,1989-12-14,AMERICAN HEALTH CORPORATION AND SUBSIDIARIES | AMERICAN HEALTH CORPORATION AND SUBSIDIARIES,NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED,AMERICAN HEALTH CORPORATION AND SUBSIDIARIES | AMERICAN HEALTH CORPORATION AND SUBSIDIARIES||NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED
,1990-01-01,"HOSPITAL DISTRICT OF JACKSON, GERMAN, NOBLE, AND ST. MARYS TOWNSHIPS | TARPON SPRINGS HOSPITAL FOUNDATION INC",100% | 100%,"HOSPITAL DISTRICT OF JACKSON, GERMAN, NOBLE, AND ST. MARYS TOWNSHIPS | TARPON SPRINGS HOSPITAL FOUNDATION INC||100% | 100%"
,1990-01-30,ST LUKES EPISCOPAL-PRESBYTERIAN HOSPITAL,100%,ST LUKES EPISCOPAL-PRESBYTERIAN HOSPITAL||100%
,1990-03-01,"LIEBMAN, MARTIN",33%,"LIEBMAN, MARTIN||33%"
,1991-07-31,SAINT THERESE,100%,SAINT THERESE||100%
,1992-01-01,GOOD SHEPHERD HEALTH CARE CENTER OF SANTA MONICA,NO PERCENTAGE PROVIDED,GOOD SHEPHERD HEALTH CARE CENTER OF SANTA MONICA||NO PERCENTAGE PROVIDED
,1992-02-07,"LEE, JOAN",NO PERCENTAGE PROVIDED,"LEE, JOAN||NO PERCENTAGE PROVIDED"
,1992-02-10,"LEE, JOAN | LEE, JOAN",100% | 100%,"LEE, JOAN | LEE, JOAN||100% | 100%"
,1992-03-01,"VISLOCKY, GREGORY",NO PERCENTAGE PROVIDED,"VISLOCKY, GREGORY||NO PERCENTAGE PROVIDED"
,1992-03-10,"EISENBERGER, ROSALIE | NADLER, MARLENE",25% | 25%,"EISENBERGER, ROSALIE | NADLER, MARLENE||25% | 25%"
,1992-05-01,"LANDRY, MARC | LOCKHART, RALPH",NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED,"LANDRY, MARC | LOCKHART, RALPH||NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED"
,1992-07-01,"ARMSTRONG, JOHN | ARMSTRONG, JOHN | ARMSTRONG, LAURA | ARMSTRONG, LAURA | COTTON, DANIEL | GOINGS, ELWIN | GOINGS, GREGORY | GOINGS, GREGORY | GOINGS, PATRICIA | GOINGS, PATRICIA | GOINGS, VERNA | GOINGS, VERNA | LOUPOT, FLOYD",NO PERCENTAGE PROVIDED | 11% | NO PERCENTAGE PROVIDED | 11% | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | 16% | NO PERCENTAGE PROVIDED | 16% | NO PERCENTAGE PROVIDED | 16% | NO PERCENTAGE PROVIDED,"ARMSTRONG, JOHN | ARMSTRONG, JOHN | ARMSTRONG, LAURA | ARMSTRONG, LAURA | COTTON, DANIEL | GOINGS, ELWIN | GOINGS, GREGORY | GOINGS, GREGORY | GOINGS, PATRICIA | GOINGS, PATRICIA | GOINGS, VERNA | GOINGS, VERNA | LOUPOT, FLOYD||NO PERCENTAGE PROVIDED | 11% | NO PERCENTAGE PROVIDED | 11% | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | 16% | NO PERCENTAGE PROVIDED | 16% | NO PERCENTAGE PROVIDED | 16% | NO PERCENTAGE PROVIDED"
,1992-11-09,"BROCKMAN, RICHARD",50%,"BROCKMAN, RICHARD||50%"
,1993-02-16,"PAULDING MEDICAL CENTER, INC. | WELLSTAR HEALTH SYSTEM INC",NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED,"PAULDING MEDICAL CENTER, INC. | WELLSTAR HEALTH SYSTEM INC||NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED"
,1993-02-19,DIGNITY HEALTH,100%,DIGNITY HEALTH||100%
,1993-04-01,"BARRISH, BRYAN | BARRISH, JULIANA | GIANNINI, CELESTE | GIANNINI, MICHAEL",14% | 14% | 18% | 12%,"BARRISH, BRYAN | BARRISH, JULIANA | GIANNINI, CELESTE | GIANNINI, MICHAEL||14% | 14% | 18% | 12%"
,1993-06-01,"ADDINGTON ENTERPRISES INC | ADDINGTON, RONALD | BAUGESS, HARVE",NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED,"ADDINGTON ENTERPRISES INC | ADDINGTON, RONALD | BAUGESS, HARVE||NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED"
,1993-06-07,"PRESTON, FORREST",67%,"PRESTON, FORREST||67%"
,1993-08-27,CHANCELLOR HEALTH CARE INC,100%,CHANCELLOR HEALTH CARE INC||100%
,1993-10-01,"MELNICKE, MICHAEL",100%,"MELNICKE, MICHAEL||100%"
,1993-10-20,"VANDER MATEN, LARRY",NO PERCENTAGE PROVIDED,"VANDER MATEN, LARRY||NO PERCENTAGE PROVIDED"
,1993-10-27,PIONEER NURSING HOME HEALTH DISTRICT,100%,PIONEER NURSING HOME HEALTH DISTRICT||100%
,1993-12-01,"FRIEDMAN, AARON | FRIEDMAN, DAVID | FRIEDMAN, IRA | FRIEDMAN-NOTIS, TZIPPY | KLAVAN, RACHEL | KLAVAN, RUCHEL | LEHMANN, LIBBY | VISLOCKY, GREGORY",20% | 20% | 20% | 20% | 20% | 20% | 20% | NO PERCENTAGE PROVIDED,"FRIEDMAN, AARON | FRIEDMAN, DAVID | FRIEDMAN, IRA | FRIEDMAN-NOTIS, TZIPPY | KLAVAN, RACHEL | KLAVAN, RUCHEL | LEHMANN, LIBBY | VISLOCKY, GREGORY||20% | 20% | 20% | 20% | 20% | 20% | 20% | NO PERCENTAGE PROVIDED"
,1993-12-15,"DELAMARTER, BRIAN | DELAMARTER, BRIAN | DELAMARTER, BRIAN | DELAMARTER, BRIAN | DELAMARTER, BRIAN | DELAMARTER, BRIAN | DELAMARTER, BRIAN | DELAMARTER, HAROLD | DELAMARTER, HAROLD | DELAMARTER, HAROLD | DELAMARTER, HAROLD | DELAMARTER, HAROLD | PRESTIGE CARE INC",42% | 42% | NO PERCENTAGE PROVIDED | 42% | 42% | 42% | 42% | 28% | 28% | NO PERCENTAGE PROVIDED | 28% | 28% | NO PERCENTAGE PROVIDED,"DELAMARTER, BRIAN | DELAMARTER, BRIAN | DELAMARTER, BRIAN | DELAMARTER, BRIAN | DELAMARTER, BRIAN | DELAMARTER, BRIAN | DELAMARTER, BRIAN | DELAMARTER, HAROLD | DELAMARTER, HAROLD | DELAMARTER, HAROLD | DELAMARTER, HAROLD | DELAMARTER, HAROLD | PRESTIGE CARE INC||42% | 42% | NO PERCENTAGE PROVIDED | 42% | 42% | 42% | 42% | 28% | 28% | NO PERCENTAGE PROVIDED | 28% | 28% | NO PERCENTAGE PROVIDED"
,1994-03-01,"COMMCARE CORPORATION | COMMCARE CORPORATION | SBRIGLIO, MARTIN",100% | 100% | 100%,"COMMCARE CORPORATION | COMMCARE CORPORATION | SBRIGLIO, MARTIN||100% | 100% | 100%"
,1994-05-10,DIVERSICARE HEALTHCARE SERVICES LLC | DIVERSICARE HEALTHCARE SERVICES LLC,NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED,DIVERSICARE HEALTHCARE SERVICES LLC | DIVERSICARE HEALTHCARE SERVICES LLC||NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED
,1994-06-16,"DYER NURSING HOME, INC. | LAMAN, CRAIG",NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED,"DYER NURSING HOME, INC. | LAMAN, CRAIG||NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED"
,1994-06-22,"LIEBMAN, GEORGE | ROSENBLATT, SHARI",33% | 33%,"LIEBMAN, GEORGE | ROSENBLATT, SHARI||33% | 33%"
,1994-08-11,"BERKOWITZ, DOV | FRIEDMAN, ARI | MANDELSTAM, ARNOLD",8% | 7% | 8%,"BERKOWITZ, DOV | FRIEDMAN, ARI | MANDELSTAM, ARNOLD||8% | 7% | 8%"
,1994-10-01,"CASTRO, PAUL | COLKITT, MARCY | RUSSELL, JOANNE",20% | 40% | 30%,"CASTRO, PAUL | COLKITT, MARCY | RUSSELL, JOANNE||20% | 40% | 30%"
,1994-12-15,"WIEDERKERH, CHEPHZIBAH",NOT APPLICABLE,"WIEDERKERH, CHEPHZIBAH||NOT APPLICABLE"
,1995-01-01,"BELL, SHELLY | THOMPSON, JEFF | THOMPSON, SAMUEL",6% | 6% | 6%,"BELL, SHELLY | THOMPSON, JEFF | THOMPSON, SAMUEL||6% | 6% | 6%"
,1995-01-24,"BAUMAN, IRVING | JOHNSON, FRANK | MARMUR, ELI",33% | 33% | 33%,"BAUMAN, IRVING | JOHNSON, FRANK | MARMUR, ELI||33% | 33% | 33%"
,1995-06-13,TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,100%,TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA||100%
,1995-07-12,KENOSHA COUNTY DIV OF PUBLIC HEALTH | KENOSHA COUNTY DIVISION OF HEALTH,100% | 100%,KENOSHA COUNTY DIV OF PUBLIC HEALTH | KENOSHA COUNTY DIVISION OF HEALTH||100% | 100%
,1995-08-23,NATHAN & SHIRLEY ROTHNER FAMILY TRUST | NOAH WOLFF FAMILY TRUST,10% | 10%,NATHAN & SHIRLEY ROTHNER FAMILY TRUST | NOAH WOLFF FAMILY TRUST||10% | 10%
,1995-10-06,"HIGHTOWER, JAMES | HIGHTOWER, PATRICIA",NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED,"HIGHTOWER, JAMES | HIGHTOWER, PATRICIA||NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED"
,1995-10-11,"BRISCOE, STEPHEN | CONTINUUM HEALTH PARTNERSHIPS INC",100% | 100%,"BRISCOE, STEPHEN | CONTINUUM HEALTH PARTNERSHIPS INC||100% | 100%"
,1995-12-31,HENRY J. CAMOSSE IRREVOCABLE TRUST,25%,HENRY J. CAMOSSE IRREVOCABLE TRUST||25%
,1996-01-01,"GRACIANO, DAVID | JBGRS INC | NESE, ROSS",33% | NO PERCENTAGE PROVIDED | 25%,"GRACIANO, DAVID | JBGRS INC | NESE, ROSS||33% | NO PERCENTAGE PROVIDED | 25%"
,1996-02-01,"BINYAMIN M. KLEIN TRUST | BINYAMIN M. KLEIN TRUST | KLEIN, RONNIE | KLEIN, RONNIE | MILSTEIN, ALBERT | MILSTEIN, ALBERT | NATHAN & SHIRLEY ROTHNER FAMILY TRUST | NATHAN & SHIRLEY ROTHNER FAMILY TRUST | SUISSA, MAKHLOUF | SUISSA, MAKHLOUF | WOLFE, SHELDON | WOLFE, SHELDON",5% | 5% | 6% | 6% | 15% | 15% | 8% | 8% | 25% | 25% | 14% | 14%,"BINYAMIN M. KLEIN TRUST | BINYAMIN M. KLEIN TRUST | KLEIN, RONNIE | KLEIN, RONNIE | MILSTEIN, ALBERT | MILSTEIN, ALBERT | NATHAN & SHIRLEY ROTHNER FAMILY TRUST | NATHAN & SHIRLEY ROTHNER FAMILY TRUST | SUISSA, MAKHLOUF | SUISSA, MAKHLOUF | WOLFE, SHELDON | WOLFE, SHELDON||5% | 5% | 6% | 6% | 15% | 15% | 8% | 8% | 25% | 25% | 14% | 14%"
,1996-02-11,"MAYER, ANDREA | MAYER, GIORGIO",16% | 16%,"MAYER, ANDREA | MAYER, GIORGIO||16% | 16%"
,1996-05-01,"MOSIER, MICHAEL",NO PERCENTAGE PROVIDED,"MOSIER, MICHAEL||NO PERCENTAGE PROVIDED"
,1996-05-07,"PRESTON, FORREST | PRESTON, FORREST",99% | 99%,"PRESTON, FORREST | PRESTON, FORREST||99% | 99%"
,1996-06-24,"NEUMAN, WILLIAM",NOT APPLICABLE,"NEUMAN, WILLIAM||NOT APPLICABLE"
,1996-06-30,RELIANT CARE GROUP LLC,100%,RELIANT CARE GROUP LLC||100%
,1996-10-10,DIVERSICARE MANAGEMENT SERVICES LP.,NO PERCENTAGE PROVIDED,DIVERSICARE MANAGEMENT SERVICES LP.||NO PERCENTAGE PROVIDED
,1996-10-29,"PIERCE, VELDA",46%,"PIERCE, VELDA||46%"
,1996-11-18,"CASEY, ELIZABETH | CASEY, ELIZABETH | CHASE, PHILLIP | CHASE, PHILLIP | NELSON, ROBERTS | NELSON, ROBERTS | PREMIER CARE SIMI VALLEY LLC | PREMIER CARE SIMI VALLEY LLC",NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED,"CASEY, ELIZABETH | CASEY, ELIZABETH | CHASE, PHILLIP | CHASE, PHILLIP | NELSON, ROBERTS | NELSON, ROBERTS | PREMIER CARE SIMI VALLEY LLC | PREMIER CARE SIMI VALLEY LLC||NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED | NO PERCENTAGE PROVIDED"
,1996-11-25,"OSBY, EDMUND",100%,"OSBY, EDMUND||100%"
,1996-12-10,"PYE, MELVIN",100%,"PYE, MELVIN||100%"
,1996-12-18,"ADVOCAT FINANCE, LLC",NO PERCENTAGE PROVIDED,"ADVOCAT FINANCE, LLC||NO PERCENTAGE PROVIDED"
,1997-01-01,"POLLAK, RENEE",NOT APPLICABLE,"POLLAK, RENEE||NOT APPLICABLE"
,1997-01-27,MAINEHEALTH SERVICES,100%,MAINEHEALTH SERVICES||100%
,1997-02-01,"ROUTH, GARY | ROUTH, PATRICIA",50% | 50%,"ROUTH, GARY | ROUTH, PATRICIA||50% | 50%"
,1997-03-01,"DELAMARTER, BRIAN | DELAMARTER, HAROLD | VISLOCKY, GREGORY",42% | 28% | 30%,"DELAMARTER, BRIAN | DELAMARTER, HAROLD | VISLOCKY, GREGORY||42% | 28% | 30%"
