cms_certification_number,n_chow,is_chow,chow_1_date,chow_2_date,chow_3_date,chow_4_date,chow_5_date
055848,1,1,2017-09-01,,,,
055849,0,0,,,,,
055850,0,0,,,,,
055853,0,0,,,,,
055854,0,0,,,,,
055855,0,0,,,,,
055856,0,0,,,,,
055858,1,1,2021-04-09,,,,
055861,0,0,,,,,
055862,1,1,2020-12-01,,,,
055866,0,0,,,,,
055869,0,0,,,,,
055870,0,0,,,,,
055871,0,0,,,,,
055872,0,0,,,,,
055873,1,1,2023-06-01,,,,
055874,0,0,,,,,
055876,0,0,,,,,
055884,1,1,2022-06-01,,,,
055885,0,0,,,,,
055886,0,0,,,,,
055887,1,1,2018-11-30,,,,
055888,0,0,,,,,
055890,0,0,,,,,
055892,0,0,,,,,
055894,1,1,2023-02-01,,,,
055899,0,0,,,,,
055906,0,0,,,,,
055910,0,0,,,,,
055914,0,0,,,,,
055916,1,1,2022-05-01,,,,
055917,0,0,,,,,
055918,0,0,,,,,
055919,0,0,,,,,
055922,0,0,,,,,
055929,0,0,,,,,
055932,0,0,,,,,
055935,0,0,,,,,
055952,0,0,,,,,
055954,0,0,,,,,
055955,0,0,,,,,
055956,0,0,,,,,
055957,0,0,,,,,
055959,0,0,,,,,
055960,0,0,,,,,
055962,0,0,,,,,
055963,0,0,,,,,
055964,0,0,,,,,
055968,0,0,,,,,
055975,0,0,,,,,
055977,0,0,,,,,
055979,0,0,,,,,
055983,1,1,2023-02-01,,,,
055984,0,0,,,,,
055987,0,0,,,,,
055988,1,1,2023-03-01,,,,
055989,0,0,,,,,
055991,1,1,2021-08-01,,,,
055992,0,0,,,,,
055995,0,0,,,,,
055996,1,1,2021-04-09,,,,
056007,0,0,,,,,
056008,0,0,,,,,
056010,0,0,,,,,
056014,0,0,,,,,
056017,0,0,,,,,
056019,0,0,,,,,
056021,1,1,2020-06-16,,,,
056023,0,0,,,,,
056024,0,0,,,,,
